"40.744274849230635, -73.98044407262455"
"40.86179154227089, -74.40350195219361"
"40.92702744433351, -74.88240968057261"
"41.03033956381767, -75.30916915761634"
"41.05642943348316, -75.79771533137043"
"41.01083491389797, -76.2923871330231"
"41.008320001766805, -76.76949244001685"
"41.06256573504266, -77.23719761531821"
"40.9512536113443, -77.7411801821934"
"40.991841327437925, -78.20603941353117"
"41.12560472992746, -78.69187229136412"
"41.18422995832218, -79.15861631032017"
"41.18487762492267, -79.54113057435251"
"41.20119316898266, -80.03911277937692"
"41.176897285968174, -80.56518911023838"
"41.24266821786025, -81.13896490812857"
"41.29224117007147, -81.67339733163351"
"41.389272080363526, -82.16596603773964"
"41.335447799416706, -82.68254685726114"
"41.43002650465873, -83.20096153483779"
"41.57646256878856, -83.59776866819986"
"41.59123970400015, -84.24677924144936"
"41.631131001435044, -84.78809598872314"
"41.7549769960019, -85.25758917246121"
"41.731810231602935, -85.77725661367766"
"41.73081049784484, -86.31641986733419"
"41.635615912651716, -86.78865637656345"
"41.57290181114005, -87.28213869489653"
"41.55117785634046, -87.80124553768327"
"41.46188638287761, -88.29706134237142"
"41.37670684920191, -88.82152551494735"
"41.4007514993013, -89.31445909802457"
"41.394807581255876, -89.86049224207135"
"41.46652816580288, -90.33850294053858"
"41.608186452837415, -90.74068183157563"
"41.66390152830831, -91.27903060955772"
"41.68794848676179, -91.82057165325969"
"41.69618907423905, -92.22077487553148"
"41.69618907423905, -92.22077487553148"
"41.67810644109321, -93.41455051221467"
"41.592371387377895, -93.79745741941962"
"41.493192084680324, -94.31739027261976"
"41.49737770974955, -94.82690163898185"
"41.49802787739967, -95.3659292226146"
"41.315567374125926, -95.75874871213078"
"41.13538657585175, -96.17078959828484"
"40.89448576441909, -96.56322135475207"
"40.82278167504773, -97.17050163922926"
"40.82204438052535, -97.73427438133054"
"40.821496171422936, -98.23772091240234"
"40.720914871843355, -98.77117131765445"
"40.68203774113168, -99.29491561597489"
"40.762904971601664, -99.80677499455192"
"40.9620450205664, -100.27352157042964"
"41.11090536258901, -100.75863270285285"
"41.116863998484206, -101.27852221643514"
"41.09567219844282, -101.81072384179151"
"40.94437118676263, -102.28888741407886"
"40.828359418415204, -102.7893452390133"
"40.58199749970171, -103.19761851621145"
"40.27678385947357, -103.57050191681022"
"40.247295206749875, -103.97709629697032"
"40.14760399003154, -104.46971412942408"
"39.891265434218944, -104.85772149601627"
"39.70437288330198, -105.25791505164041"
"39.713528641264176, -105.69701897430619"
"39.557074536210266, -106.130896837954"
"39.61522708569306, -106.44116098227228"
"39.6528323969114, -106.88705377813267"
"39.55544330082501, -107.33518164142792"
"39.520836866626986, -107.84302185738011"
"39.29794421702661, -108.22105842493623"
"39.11157451516805, -108.53943004676387"
"39.203200610833655, -108.98815900479256"
"38.9653843749399, -109.37465219493542"
"38.932417750058036, -109.86409891803682"
"38.93902156529496, -110.3422114001873"
"38.866804636794306, -110.8055381312655"
"38.7947326805807, -111.29018902477823"
"38.90343739597814, -111.6786697855046"
"38.76412172512755, -112.1041386084783"
"38.59363655671698, -112.50314600750282"
"38.28058792046875, -112.65071106309334"
"37.92161645088656, -112.77015705731176"
"37.63310098972513, -113.10667711591638"
"37.27775484425882, -113.31287904327172"
"36.98918530806206, -113.63024480914954"
"36.81878302022563, -114.04853114054919"
"36.69176410886961, -114.50357810280812"
"36.433063051481675, -114.85986629502219"
"36.12516151550465, -115.18087399307505"
"35.756513218877494, -115.3466011593651"
"35.475599115865606, -115.56858278737909"
"35.304917752970816, -116.0135125123675"
"35.081266307199066, -116.38371574769015"
"34.90983675289699, -116.83742540090326"
"34.757118915676884, -117.16227565213079"
"34.40746669523142, -117.39589812330637"
"34.1368205175787, -117.54935478022587"
"34.09739771646445, -117.9859935204978"
"33.845389997721064, -118.39718089609678"
